id|name|continent|flag_url|gold_medals|silver_medals|bronze_medals|total_medals|rank|rank_total_medals|DataCollectionDate
USA|EUA|AME|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/USA.png|40|44|42|126|1|1|2025-01-11T05:20:35.761581
CHN|China|ASI|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/CHN.png|40|27|24|91|2|2|2025-01-11T05:20:35.761581
JPN|Japão|ASI|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/JPN.png|20|12|13|45|3|6|2025-01-11T05:20:35.761581
AUS|Austrália|OCE|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/AUS.png|18|19|16|53|4|5|2025-01-11T05:20:35.761581
FRA|França|EUR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/FRA.png|16|26|22|64|5|4|2025-01-11T05:20:35.761581
NED|Países Baixos|EUR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/NED.png|15|7|12|34|6|8|2025-01-11T05:20:35.761581
GBR|Grã-Bretanha|EUR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/GBR.png|14|22|29|65|7|3|2025-01-11T05:20:35.761581
KOR|República da Coréia|ASI|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/KOR.png|13|9|10|32|8|10|2025-01-11T05:20:35.761581
ITA|Itália|EUR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/ITA.png|12|13|15|40|9|7|2025-01-11T05:20:35.761581
GER|Alemanha|EUR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/GER.png|12|13|8|33|10|9|2025-01-11T05:20:35.761581
NZL|Nova Zelândia|OCE|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/NZL.png|10|7|3|20|11|12|2025-01-11T05:20:35.761581
CAN|Canadá|AME|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/CAN.png|9|7|11|27|12|11|2025-01-11T05:20:35.761581
UZB|Uzbequistão|ASI|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/UZB.png|8|2|3|13|13|16|2025-01-11T05:20:35.761581
HUN|Hungria|EUR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/HUN.png|6|7|6|19|14|14|2025-01-11T05:20:35.761581
ESP|Espanha|EUR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/ESP.png|5|4|9|18|15|15|2025-01-11T05:20:35.761581
SWE|Suécia|EUR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/SWE.png|4|4|3|11|16|19|2025-01-11T05:20:35.761581
KEN|Quênia|AFR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/KEN.png|4|2|5|11|17|19|2025-01-11T05:20:35.761581
NOR|Noruega|EUR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/NOR.png|4|1|3|8|18|26|2025-01-11T05:20:35.761581
IRL|Irlanda|EUR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/IRL.png|4|0|3|7|19|30|2025-01-11T05:20:35.761581
BRA|Brasil|AME|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/BRA.png|3|7|10|20|20|12|2025-01-11T05:20:35.761581
IRI|Repúb. Islâmica Irã|ASI|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/IRI.png|3|6|3|12|21|17|2025-01-11T05:20:35.761581
UKR|Ucrânia|EUR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/UKR.png|3|5|4|12|22|17|2025-01-11T05:20:35.761581
ROU|Romênia|EUR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/ROU.png|3|4|2|9|23|23|2025-01-11T05:20:35.761581
GEO|Geórgia|EUR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/GEO.png|3|3|1|7|24|30|2025-01-11T05:20:35.761581
BEL|Bélgica|EUR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/BEL.png|3|1|6|10|25|21|2025-01-11T05:20:35.761581
BUL|Bulgária|EUR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/BUL.png|3|1|3|7|26|30|2025-01-11T05:20:35.761581
